CustomerID,Segment
12346,Hibernando/Perdidos
12347,Campeões
12348,Clientes Leais
12349,Grandes Gastadores Recentes
12350,Hibernando/Perdidos
12352,Clientes Leais
12353,Hibernando/Perdidos
12354,Hibernando/Perdidos
12355,Hibernando/Perdidos
12356,Grandes Gastadores Recentes
12357,Grandes Gastadores Recentes
12358,Em Risco
12359,Clientes Leais
12360,Grandes Gastadores Recentes
12361,Hibernando/Perdidos
12362,Campeões
12363,Clientes Promissores
12364,Precisando de Atenção
12365,Hibernando/Perdidos
12367,Em Risco
12370,Clientes Leais
12371,Grandes Gastadores Recentes
12372,Grandes Gastadores Recentes
12373,Hibernando/Perdidos
12374,Clientes Promissores
12375,Em Risco
12377,Hibernando/Perdidos
12378,Grandes Gastadores Recentes
12379,Clientes Promissores
12380,Clientes Leais
12381,Precisando de Atenção
12383,Hibernando/Perdidos
12384,Clientes Promissores
12386,Hibernando/Perdidos
12388,Clientes Leais
12390,Clientes Promissores
12391,Clientes Promissores
12393,Clientes Leais
12394,Grandes Gastadores Recentes
12395,Clientes Leais
12397,Grandes Gastadores Recentes
12398,Grandes Gastadores Recentes
12399,Clientes Leais
12401,Hibernando/Perdidos
12402,Hibernando/Perdidos
12403,Clientes Promissores
12405,Grandes Gastadores Recentes
12406,Grandes Gastadores Recentes
12407,Clientes Leais
12408,Clientes Leais
12409,Grandes Gastadores Recentes
12410,Hibernando/Perdidos
12412,Grandes Gastadores Recentes
12413,Clientes Promissores
12414,Hibernando/Perdidos
12415,Clientes Leais
12417,Campeões
12418,Clientes Promissores
12420,Clientes Promissores
12421,Clientes Leais
12422,Clientes Promissores
12423,Precisando de Atenção
12424,Grandes Gastadores Recentes
12425,Clientes Promissores
12426,Hibernando/Perdidos
12427,Clientes Promissores
12428,Clientes Leais
12429,Precisando de Atenção
12430,Clientes Promissores
12431,Clientes Leais
12432,Clientes Leais
12433,Campeões
12434,Clientes Promissores
12435,Grandes Gastadores Recentes
12436,Clientes Promissores
12437,Campeões
12438,Grandes Gastadores Recentes
12441,Hibernando/Perdidos
12442,Em Risco
12444,Clientes Leais
12445,Clientes Promissores
12446,Grandes Gastadores Recentes
12447,Hibernando/Perdidos
12448,Clientes Promissores
12449,Clientes Leais
12450,Clientes Promissores
12451,Precisando de Atenção
12452,Clientes Promissores
12453,Clientes Promissores
12454,Grandes Gastadores Recentes
12455,Clientes Leais
12456,Grandes Gastadores Recentes
12457,Clientes Leais
12458,Grandes Gastadores Recentes
12461,Clientes Promissores
12462,Grandes Gastadores Recentes
12463,Clientes Leais
12464,Precisando de Atenção
12465,Clientes Promissores
12468,Hibernando/Perdidos
12471,Campeões
12472,Clientes Leais
12473,Clientes Leais
12474,Clientes Leais
12475,Clientes Promissores
12476,Clientes Leais
12477,Clientes Leais
12478,Em Risco
12479,Em Risco
12480,Clientes Leais
12481,Clientes Leais
12483,Clientes Leais
12484,Clientes Leais
12488,Precisando de Atenção
12489,Hibernando/Perdidos
12490,Campeões
12491,Clientes Promissores
12492,Clientes Promissores
12493,Clientes Promissores
12494,Clientes Leais
12497,Grandes Gastadores Recentes
12498,Clientes Promissores
12500,Clientes Leais
12501,Hibernando/Perdidos
12502,Clientes Leais
12504,Clientes Promissores
12506,Hibernando/Perdidos
12507,Grandes Gastadores Recentes
12508,Clientes Promissores
12509,Hibernando/Perdidos
12510,Grandes Gastadores Recentes
12512,Clientes Promissores
12513,Clientes Promissores
12514,Hibernando/Perdidos
12515,Hibernando/Perdidos
12516,Grandes Gastadores Recentes
12517,Clientes Leais
12518,Precisando de Atenção
12519,Clientes Promissores
12520,Clientes Leais
12521,Clientes Promissores
12522,Clientes Promissores
12523,Clientes Leais
12524,Campeões
12526,Precisando de Atenção
12527,Clientes Promissores
12528,Precisando de Atenção
12530,Clientes Leais
12531,Clientes Promissores
12532,Clientes Promissores
12534,Grandes Gastadores Recentes
12535,Clientes Promissores
12536,Grandes Gastadores Recentes
12538,Clientes Promissores
12539,Clientes Leais
12540,Clientes Leais
12541,Grandes Gastadores Recentes
12544,Clientes Promissores
12545,Grandes Gastadores Recentes
12546,Grandes Gastadores Recentes
12547,Hibernando/Perdidos
12548,Clientes Promissores
12550,Grandes Gastadores Recentes
12551,Hibernando/Perdidos
12552,Clientes Promissores
12553,Campeões
12556,Clientes Promissores
12557,Clientes Leais
12558,Em Risco
12559,Hibernando/Perdidos
12560,Precisando de Atenção
12561,Hibernando/Perdidos
12562,Campeões
12564,Hibernando/Perdidos
12565,Hibernando/Perdidos
12566,Clientes Promissores
12567,Clientes Leais
12569,Campeões
12571,Clientes Promissores
12572,Em Risco
12573,Hibernando/Perdidos
12574,Hibernando/Perdidos
12576,Clientes Leais
12577,Clientes Promissores
12578,Grandes Gastadores Recentes
12579,Clientes Promissores
12580,Hibernando/Perdidos
12581,Clientes Promissores
12582,Hibernando/Perdidos
12583,Campeões
12584,Campeões
12585,Hibernando/Perdidos
12586,Clientes Promissores
12587,Em Risco
12588,Clientes Promissores
12589,Clientes Promissores
12590,Hibernando/Perdidos
12591,Hibernando/Perdidos
12592,Clientes Promissores
12593,Clientes Promissores
12594,Clientes Leais
12596,Clientes Promissores
12597,Clientes Leais
12598,Campeões
12599,Clientes Leais
12600,Clientes Leais
12601,Hibernando/Perdidos
12602,Clientes Promissores
12603,Clientes Promissores
12604,Clientes Promissores
12607,Grandes Gastadores Recentes
12609,Grandes Gastadores Recentes
12610,Clientes Leais
12611,Grandes Gastadores Recentes
12612,Clientes Promissores
12613,Clientes Leais
12614,Hibernando/Perdidos
12615,Precisando de Atenção
12616,Clientes Promissores
12617,Clientes Promissores
12618,Clientes Promissores
12619,Clientes Leais
12620,Grandes Gastadores Recentes
12621,Campeões
12622,Hibernando/Perdidos
12623,Hibernando/Perdidos
12624,Clientes Promissores
12625,Hibernando/Perdidos
12626,Clientes Leais
12627,Campeões
12628,Precisando de Atenção
12630,Em Risco
12631,Clientes Promissores
12633,Clientes Leais
12635,Grandes Gastadores Recentes
12637,Clientes Leais
12638,Clientes Promissores
12639,Hibernando/Perdidos
12640,Grandes Gastadores Recentes
12641,Clientes Promissores
12642,Grandes Gastadores Recentes
12643,Clientes Leais
12644,Clientes Promissores
12645,Clientes Leais
12646,Em Risco
12647,Clientes Leais
12648,Clientes Promissores
12649,Clientes Promissores
12650,Em Risco
12651,Hibernando/Perdidos
12652,Hibernando/Perdidos
12653,Grandes Gastadores Recentes
